4820193,7294758123049561823,7152846,3947201:5812469371058462937,6283947,1837402:4628391074658392018,9473628:3948572610493827156,5037281,2749503:7162839405826374910
3628194,5173846:8392017465839201745,7283946,1928374:6273849102637481920,4738291:9482716350291847365,6382910,3847562:2718394057283946103
9182736,4738291:5839201746382910475,8293746:6172839405827364918,3748291,2938475:7283946172839405162,8473629:3847562918374650291,5637281
9283746,1837462:7483920174658392017,6374829:5839201746283749106,2938471,4738290:6172839405839201746,8293745:3847562910283746519,7483920
6172839,5839201:7283946172039485762,8473628:3948572610293847561,2039485,6172838:4758392017462839105,7382910:2938475617283940516,1827364
9503827:6172839405839201746,1728394,7382915:2837465192039485761,8473620:4758392016374829105,5839201,6172839:7283946172839405162,3928475
2039486,4758392:6172839405839201746,7382914:2837465192837465192,8473621,9503826:6172839405839201746,1728395:7283946172839405162,2938476
5849201,7283946:3948572610293847561,2039487:6172839405839201746,4758393,6172840:7283946172839405162,7382916:2837465192837465193,8473622
9503828,1728396:6172839405839201747,2938477:7283946172839405163,5849202,7283947:3948572610293847562,2039488:6172839405839201747,4758394
6172841,7382917:7283946172839405163,2837465:2837465192837465194,8473623,9503829:6172839405839201747,1728397:7283946172839405163,2938478
5849203,7283948:3948572610293847563,2039489:6172839405839201748,4758395,6172842:7283946172839405164,7382918:2837465192837465195,8473624
9503830,1728398:6172839405839201748,2938479:7283946172839405164,5849204,7283949:3948572610293847564,2039490:6172839405839201748,4758396
6172843,7382919:7283946172839405165,2837466:2837465192837465196,8473625,9503831:6172839405839201749,1728399:7283946172839405165,2938480
5849205,7283950:3948572610293847565,2039491:6172839405839201749,4758397,6172844:7283946172839405166,7382920:2837465192837465197,8473626
9503832,1728400:6172839405839201750,2938481:7283946172839405166,5849206,7283951:3948572610293847566,2039492:6172839405839201750,4758398
6172845,7382921:7283946172839405167,2837467:2837465192837465198,8473627,9503833:6172839405839201751,1728401:7283946172839405167,2938482
5849207,7283952:3948572610293847567,2039493:6172839405839201751,4758399,6172846:7283946172839405168,7382922:2837465192837465199,8473628
9503834,1728402:6172839405839201752,2938483:7283946172839405168,5849208,7283953:3948572610293847568,2039494:6172839405839201752,4758400
6172847,7382923:7283946172839405169,2837468:2837465192837465200,8473629,9503835:6172839405839201753,1728403:7283946172839405169,2938484
5849209,7283954:3948572610293847569,2039495:6172839405839201753,4758401,6172848:7283946172839405170,7382924:2837465192837465201,8473630
